event,date,player,elo,color,opponent,result,avg_cp_loss,std_cp_loss
Amber Blindfold,1999.03.17,"Shirov, Alexei",2726.0,black,"Anand, Viswanathan",draw,23.403846153846153,35.786901135742504
Amber Blindfold,1999.03.18,"Anand, Viswanathan",2781.0,white,"Kramnik, Vladimir",lost,64.35714285714286,60.53052021543364
Amber Blindfold,1999.03.18,"Kramnik, Vladimir",2751.0,black,"Anand, Viswanathan",won,37.5,50.603147841103436
Amber Blindfold,1999.03.19,"Topalov, Veselin",2700.0,white,"Anand, Viswanathan",won,15.132075471698114,20.280148985207894
Amber Blindfold,1999.03.19,"Anand, Viswanathan",2781.0,black,"Topalov, Veselin",lost,23.865384615384617,32.896708302803845
Amber Blindfold,1999.03.21,"Anand, Viswanathan",2781.0,white,"Van Wely, Loek",draw,22.333333333333332,16.090024514862893
Amber Blindfold,1999.03.21,"Van Wely, Loek",2632.0,black,"Anand, Viswanathan",draw,21.41176470588235,21.099369445636526
Amber Blindfold,1999.03.22,"Gelfand, Boris",2691.0,white,"Anand, Viswanathan",draw,18.77777777777778,26.2838259424468
Amber Blindfold,1999.03.22,"Anand, Viswanathan",2781.0,black,"Gelfand, Boris",draw,16.0,20.682473398565097
Amber Blindfold,1999.03.23,"Anand, Viswanathan",2781.0,white,"Lautier, Joel",draw,25.923076923076923,26.075221183401567
Amber Blindfold,1999.03.23,"Lautier, Joel",2596.0,black,"Anand, Viswanathan",draw,24.833333333333332,29.262699047687924
Amber Blindfold,1999.03.24,"Nikolic, Predrag",2633.0,white,"Anand, Viswanathan",draw,25.181818181818183,30.516219776071342
Amber Blindfold,1999.03.24,"Anand, Viswanathan",2781.0,black,"Nikolic, Predrag",draw,23.181818181818183,39.80593418944235
Amber Blindfold,1999.03.26,"Anand, Viswanathan",2781.0,white,"Piket, Jeroen",draw,13.166666666666666,13.229806414977423
Amber Blindfold,1999.03.26,"Piket, Jeroen",2619.0,black,"Anand, Viswanathan",draw,16.235294117647058,15.990914375374338
Amber Blindfold,1999.03.28,"Anand, Viswanathan",2781.0,white,"Ivanchuk, Vassily",lost,37.5,50.92320764566071
Amber Blindfold,1999.03.28,"Ivanchuk, Vassily",2714.0,black,"Anand, Viswanathan",won,13.961538461538462,16.418752808510828
Dos Hermanas,1999.04.06,"Polgar, Judit",2677.0,white,"Anand, Viswanathan",won,49.916666666666664,56.23456578376763
Dos Hermanas,1999.04.06,"Anand, Viswanathan",2781.0,black,"Polgar, Judit",lost,78.6086956521739,83.93099605210625
Dos Hermanas,1999.04.07,"Anand, Viswanathan",2781.0,white,"Adams, Michael",draw,25.555555555555557,24.25380204380845
Dos Hermanas,1999.04.07,"Adams, Michael",2716.0,black,"Anand, Viswanathan",draw,22.529411764705884,24.598224821313053
Dos Hermanas,1999.04.09,"Kramnik, Vladimir",2751.0,white,"Anand, Viswanathan",won,24.1,42.10253357380448
Dos Hermanas,1999.04.09,"Anand, Viswanathan",2781.0,black,"Kramnik, Vladimir",lost,31.084745762711865,41.03420984346764
Dos Hermanas,1999.04.10,"Anand, Viswanathan",2780.0,white,"Karpov, Anatoly",draw,30.533333333333335,39.237510397860646
Dos Hermanas,1999.04.10,"Karpov, Anatoly",2710.0,black,"Anand, Viswanathan",draw,28.642857142857142,33.72495291293365
Dos Hermanas,1999.04.11,"Svidler, Peter",2713.0,white,"Anand, Viswanathan",draw,38.71186440677966,64.3878741209253
Dos Hermanas,1999.04.11,"Anand, Viswanathan",2781.0,black,"Svidler, Peter",draw,38.271186440677965,65.3960115169203
Dos Hermanas,1999.04.13,"Topalov, Veselin",2700.0,white,"Anand, Viswanathan",draw,25.8,23.992220961525568
Dos Hermanas,1999.04.13,"Anand, Viswanathan",2781.0,black,"Topalov, Veselin",draw,21.466666666666665,25.840192637740834
Dos Hermanas,1999.04.14,"Anand, Viswanathan",2781.0,white,"Kortschnoj, Viktor",draw,38.21052631578947,34.12142242263714
Dos Hermanas,1999.04.14,"Kortschnoj, Viktor",2673.0,black,"Anand, Viswanathan",draw,38.388888888888886,50.66791543295409
Dos Hermanas,1999.04.16,"Illescas Cordoba, Miguel",2585.0,white,"Anand, Viswanathan",draw,24.866666666666667,37.94534080607115
Dos Hermanas,1999.04.16,"Anand, Viswanathan",2781.0,black,"Illescas Cordoba, Miguel",draw,23.8,32.19358114075951
Leon Man+Comp m,1999.06.11,"Karpov, Anatoly",2710.0,white,"Anand, Viswanathan",lost,34.0,33.543278240975724
Leon Man+Comp m,1999.06.11,"Anand, Viswanathan",2781.0,black,"Karpov, Anatoly",won,25.875,28.447045101380915
Leon Man+Comp m,1999.06.12,"Karpov, Anatoly",2710.0,white,"Anand, Viswanathan",lost,35.32,52.31574906278223
Leon Man+Comp m,1999.06.12,"Anand, Viswanathan",2781.0,black,"Karpov, Anatoly",won,15.166666666666666,14.073221221723035
